observation_id,batch_id,date,province,season,chain_node,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,dwell_time_hrs,starting_wt_kg,ending_wt_kg,loss_physiological_pct,loss_pathological_pct,ambient_temp_c,ambient_rh_pct,price_php_per_kg
1001,MB2023-001,03/01/2023,Pangasinan,Dry,packinghouse,Carabao,Yes,53.3,8,13,284.2,267.2,3.17,2.81,33.3,86.1,75.64
1002,MB2023-001,03/02/2023,Pangasinan,Dry,transport,Carabao,Yes,53.3,8,25.5,267.2,256.6,2.47,1.51,30.4,68.4,75.33
1003,MB2023-002,02/21/2023,pangasinan,Dry,packinghouse,Carabao,No,,,16.9,376.6,349.3,4.8,2.45,29.2,80.7,79.14
1004,MB2023-002,02/22/2023,Pangasinan,Dry,transport,Carabao,No,,,20.9,349.3,324.1,4.63,2.59,33,86.9,78.11
1005,MB2023-003,04/03/2023,Pangasinan,Dry,packinghouse,Carabao,No,,,14.3,382.6,353.9,4.16,3.33,30.7,84,67.15
1006,MB2023-003,04/04/2023,Pangasinan,Dry,transport,Carabao,No,,,6.8,353.9,327.9,3.65,3.69,29.6,72,66.66
1007,MB2023-004,01/05/2023,Pangasinan,Dry,packinghouse,Carabao,No,,,17.5,302.5,283.9,3.7,2.46,33.3,,78.03
1008,MB2023-004,01/06/2023,Pangasinan,Dry,transport,Carabao,No,,,21.7,283.9,258,4.82,4.29,29.8,74,77.68
1009,MB2023-005,10/07/2023,Pangasinan,Wet,packinghouse,Carabao,No,,,18.9,289.5,263.6,4.41,4.54,28.5,73.1,133.28
1010,MB2023-005,10/08/2023,Pangasinan,Wet,transport,Carabao,No,,,16.5,263.6,240.3,2.85,5.98,32.5,76.4,134.12
1011,MB2023-006,07/25/2023, Pangasinan,Wet,packinghouse,Carabao,No,,,15.7,369.9,338.3,3.86,4.69,30.4,78.9,125.38
1012,MB2023-006,07/26/2023,Pangasinan,Wet,transport,Carabao,No,,,14.6,338.3,312,3.63,4.13,28.3,71.6,130.17
1013,MB2023-007,10/11/2023,Pangasinan,Wet,packinghouse,Carabao,Yes,53.1,6,12.5,403.8,428,2.68,3.75,28.1,73.1,131.05
1014,MB2023-007,10/12/2023,Pangasinan,Wet,transport,Carabao,Yes,53.1,6,6.5,377.8,352,2.63,4.19,31.4,78.6,131.58
1015,MB2023-008,09/23/2023,Pangasinan,Wet,packinghouse,Carabao,No,,,17.4,272,250,3.45,4.64,29.4,81.6,131.57
1016,MB2023-008,09/24/2023,Pangasinan,Wet,transport,Carabao,No,,,25.3,250,226.7,3.88,5.44,28.9,77.2,127.68
1017,MB2023-009,03/01/2023,Zamboanga del Norte,Dry,packinghouse,Carabao,No,,,6.2,240.9,227.9,3.4,2,29.8,82.6,73.08
1018,MB2023-009,03/02/2023,Zamboanga del Norte,Dry,transport,Carabao,No,,,5,227.9,211.8,4.06,3,30.6,74.7,73.56
1019,MB2023-010,04/26/2023,ZAMBOANGA DEL NORTE,Dry,packinghouse,Carabao,Yes,52.6,7,5.9,445.2,431.8,2.12,0.88,32.6,84.4,72.61
1020,MB2023-010,04/27/2023,Zamboanga del Norte,Dry,transport,Carabao,Yes,52.6,7,21.7,431.8,421,2.26,0.23,33.3,70.6,72.8
1021,MB2023-011,04/13/2023,Zamboanga del Norte,Dry,packinghouse,Carabao,No,,,19.1,340.1,317.1,3.95,2.8,29.9,76.8,73.75
1022,MB2023-011,04/14/2023,Zamboanga del Norte,Dry,transport,Carabao,No,,,23.4,317.1,291.7,3.59,4.42,30.5,68.6,72.81
1023,MB2023-012,04/15/2023,Zamboanga del Norte,Dry,packinghouse,Carabao,No,,,28.7,336.1,312.2,3.75,3.37,31.4,77.6,76.43
1024,MB2023-012,04/16/2023,Zamboanga del Norte,Dry,transport,Carabao,No,,,16.8,312.2,296.9,3.26,1.64,32.8,77.3,73.37
1025,MB2023-013,07/10/2023,Zamboanga del Norte,Wet,packinghouse,Carabao,No,,,18.6,261.4,239.9,2.94,5.27,32.4,87.2,134.99
1026,MB2023-013,07/11/2023,Zamboanga del Norte,Wet,transport,Carabao,No,,,26.9,239.9,217,3.92,5.63,28.9,81.5,137.38
1027,MB2023-014,09/20/2023,Zamboanga Del norte,Wet,packinghouse,Carabao,No,,,28.8,289.4,262.9,3.32,5.85,28,68.8,137.4
1028,MB2023-014,09/21/2023,Zamboanga del Norte,Wet,transport,Carabao,No,,,19.4,262.9,237.1,4.13,5.67,31.7,87.8,138.67
1029,MB2023-015,07/18/2023,Zamboanga del Norte,Wet,packinghouse,Carabao,No,,,13.7,441.1,467.6,3.88,4.78,29.8,77.6,132.87
1030,MB2023-015,07/19/2023,Zamboanga del Norte,Wet,transport,Carabao,No,,,5,402.9,372.6,3.64,3.89,28,84.3,132.6
1031,MB2023-016,07/19/2023,Zamboanga del Norte,Wet,packinghouse,Carabao,No,,,11.8,458,415,3.66,5.72,31.1,84.3,133.82
1032,MB2023-016,07/20/2023,Zamboanga del Norte,Wet,transport,Carabao,No,,,28.1,415,378.8,4.68,4.05,32.2,,132.98
1033,MB2023-017,03/07/2023,Cebu,Dry,packinghouse,Carabao,No,,,8.4,341,321.6,3.5,2.2,30.7,70.9,72.12
1034,MB2023-017,03/08/2023,Cebu,Dry,transport,Carabao,No,,,4.4,321.6,303.8,3.36,2.17,28.8,74.6,72.84
1035,MB2023-018,04/13/2023,cebu,Dry,packinghouse,Carabao,No,,,8.3,414,390.4,3.12,2.59,31.7,76.4,74.02
1036,MB2023-018,04/14/2023,Cebu,Dry,transport,Carabao,No,,,21.5,390.4,368.1,2.99,2.72,32.3,81.2,72.14
1037,MB2023-019,01/19/2023,Cebu,Dry,packinghouse,Carabao,No,,,6.6,269.4,248.3,4.76,3.08,33.2,72.1,74.85
1038,MB2023-019,01/20/2023,Cebu,Dry,transport,Carabao,No,,,7,248.3,230.1,4.01,3.3,31.4,79.1,75.72
1039,MB2023-020,01/16/2023,Cebu,Dry,packinghouse,Carabao,No,,,18.8,277.3,255.6,4.21,3.6,33.4,83.5,80.33
1040,MB2023-020,01/17/2023,Cebu,Dry,transport,Carabao,No,,,25.1,255.6,240.5,3.74,2.18,28.3,74.6,77.63
1041,MB2023-021,09/10/2023,Cebu ,Wet,packinghouse,Carabao,No,,,7.1,414.1,379.4,3.57,4.8,29,80.5,136.25
1042,MB2023-021,09/11/2023,Cebu,Wet,transport,Carabao,No,,,16,379.4,350.4,3.45,4.19,31.6,85.3,133.69
1043,MB2023-022,07/05/2023,Cebu,Wet,packinghouse,Carabao,No,,,11.5,368.9,337,4,4.64,30.4,86.9,127.62
1044,MB2023-022,07/06/2023,cebu,Wet,transport,Carabao,No,,,27.6,337,308,4.01,4.6,29.8,78.8,126.71
1045,MB2023-023,08/11/2023,Cebu,Wet,packinghouse,Carabao,No,,,14.5,205.5,187.6,3.99,4.74,29.5,78.5,139.55
1046,MB2023-023,08/12/2023,Cebu,Wet,transport,Carabao,No,,,11,187.6,172.8,2.92,4.98,33.4,80,138.57
1047,MB2023-024,08/11/2023,Cebu,Wet,packinghouse,Carabao,Yes,53.9,10,9.4,287.8,274,2.05,2.75,32.3,68.2,135.97
1048,MB2023-024,08/12/2023,Cebu,Wet,transport,Carabao,Yes,53.9,10,23.1,274,255.5,2.81,3.94,29,74.1,134.68
