batch_id,year,province_clean,season,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,starting_wt_kg,price_packinghouse_php_kg,phys_kg_batch,path_kg_batch,loss_phys_batch_pct,loss_path_batch_pct,loss_phys_php,loss_path_php
MB2023-001,2023,Pangasinan,Dry,Carabao,Yes,53.3,8.0,284.2,75.64,15.608979999999999,12.02074,5.492251935256861,4.2296762843068265,1180.6632472,909.2487736
MB2023-002,2023,Pangasinan,Dry,Carabao,No,,,376.6,79.14,34.249390000000005,18.27357,9.094368029739778,4.85224907063197,2710.4967246000006,1446.1703298
MB2023-003,2023,Pangasinan,Dry,Carabao,No,,,382.6,67.15,28.833509999999997,25.79949,7.536202300052272,6.74320177731312,1936.1701965,1732.4357535000001
MB2023-004,2023,Pangasinan,Dry,Carabao,No,,,302.5,78.03,24.87648,19.62081,8.223629752066115,6.486218181818182,1941.1117344000002,1531.0118043
MB2023-005,2023,Pangasinan,Wet,Carabao,No,,,289.5,133.28,20.27955,28.906580000000005,7.005025906735751,9.985001727115717,2702.858424,3852.668982400001
MB2023-006,2023,Pangasinan,Wet,Carabao,No,,,369.9,125.38,26.558429999999998,31.3201,7.179894566098946,8.467180319005136,3329.8959533999996,3926.9141379999996
MB2023-007,2023,Pangasinan,Wet,Carabao,Yes,53.1,6.0,403.8,131.05,20.75798,30.972320000000003,5.14065874195146,7.6702129767211495,2720.3332790000004,4058.922536000001
MB2023-008,2023,Pangasinan,Wet,Carabao,No,,,272.0,131.57,19.084000000000003,26.2208,7.016176470588237,9.64,2510.8818800000004,3449.870656
MB2023-009,2023,Zamboanga del Norte,Dry,Carabao,No,,,240.9,73.08,17.44334,11.655000000000001,7.24090493980905,4.838107098381071,1274.7592872,851.7474000000001
MB2023-010,2023,Zamboanga del Norte,Dry,Carabao,Yes,52.6,7.0,445.2,72.61,19.19692,4.910900000000001,4.311976639712489,1.1030772686433066,1393.8883612,356.58044900000004
MB2023-011,2023,Zamboanga del Norte,Dry,Carabao,No,,,340.1,73.75,24.817840000000004,23.53862,7.297218465157307,6.921087915319024,1830.3157000000003,1735.9732250000002
MB2023-012,2023,Zamboanga del Norte,Dry,Carabao,No,,,336.1,76.43,22.78147,16.446649999999998,6.778182088664088,4.89337994644451,1741.1877521000001,1257.0174595
MB2023-013,2023,Zamboanga del Norte,Wet,Carabao,No,,,261.4,134.99,17.08924,27.282149999999994,6.537582249426167,10.436935730680947,2306.8765076,3682.8174284999996
MB2023-014,2023,Zamboanga del Norte,Wet,Carabao,No,,,289.4,137.4,20.465849999999996,31.836329999999997,7.071821008984104,11.000805114029024,2812.0077899999997,4374.311742
MB2023-015,2023,Zamboanga del Norte,Wet,Carabao,No,,,441.1,132.87,31.78024,36.75739,7.204769893448197,8.333119474042167,4222.6404888,4883.9544093
MB2023-016,2023,Zamboanga del Norte,Wet,Carabao,No,,,458.0,133.82,36.184799999999996,43.0051,7.900611353711789,9.389759825327511,4842.249935999999,5754.9424819999995
MB2023-017,2023,Cebu,Dry,Carabao,No,,,341.0,72.12,22.74076,14.480720000000002,6.66884457478006,4.246545454545455,1640.0636112000002,1044.3495264000003
MB2023-018,2023,Cebu,Dry,Carabao,No,,,414.0,74.02,24.58976,21.34148,5.939555555555555,5.154946859903382,1820.1340351999997,1579.6963496
MB2023-019,2023,Cebu,Dry,Carabao,No,,,269.4,74.85,22.780269999999998,16.49142,8.455927988121752,6.121536748329622,1705.1032094999998,1234.382787
MB2023-020,2023,Cebu,Dry,Carabao,No,,,277.3,80.33,21.23377,15.55488,7.657327803822575,5.6094049765596825,1705.7087440999999,1249.5235104
MB2023-021,2023,Cebu,Wet,Carabao,No,,,414.1,136.25,27.87267,35.77366000000001,6.73090316348708,8.638893986959673,3797.6512875,4874.161175000001
MB2023-022,2023,Cebu,Wet,Carabao,No,,,368.9,127.62,28.2697,32.61896,7.663242071021957,8.842222824613717,3607.7791140000004,4162.8316752
MB2023-023,2023,Cebu,Wet,Carabao,No,,,205.5,139.55,13.67737,19.08318,6.655654501216544,9.28621897810219,1908.6769835000002,2663.057769
MB2023-024,2023,Cebu,Wet,Carabao,Yes,53.9,10.0,287.8,135.97,13.5993,18.710099999999997,4.725260597637248,6.501077136900624,1849.0968209999999,2544.0122969999998
MB2024-001,2024,Pangasinan,Dry,Carabao,Yes,54.6,6.0,264.7,83.55,12.700779999999998,6.03913,4.798179070646014,2.281499811106914,1061.1501689999998,504.56931149999997
