observation_id,batch_id,date,season,chain_node,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,dwell_time_hrs,starting_wt_kg,ending_wt_kg,loss_physiological_pct,loss_pathological_pct,ambient_temp_c,ambient_rh_pct,price_php_per_kg,year,wt_corrected,province_clean,rh_estimated,phys_kg,path_kg
1001,MB2023-001,2023-03-01,Dry,packinghouse,Carabao,Yes,53.3,8.0,13.0,284.2,267.2,3.17,2.81,33.3,86.1,75.64,2023,False,Pangasinan,False,9.009139999999999,7.98602
1002,MB2023-001,2023-03-02,Dry,transport,Carabao,Yes,53.3,8.0,25.5,267.2,256.6,2.47,1.51,30.4,68.4,75.33,2023,False,Pangasinan,False,6.59984,4.03472
1003,MB2023-002,2023-02-21,Dry,packinghouse,Carabao,No,,,16.9,376.6,349.3,4.8,2.45,29.2,80.7,79.14,2023,False,Pangasinan,False,18.076800000000002,9.226700000000001
1004,MB2023-002,2023-02-22,Dry,transport,Carabao,No,,,20.9,349.3,324.1,4.63,2.59,33.0,86.9,78.11,2023,False,Pangasinan,False,16.17259,9.04687
1005,MB2023-003,2023-04-03,Dry,packinghouse,Carabao,No,,,14.3,382.6,353.9,4.16,3.33,30.7,84.0,67.15,2023,False,Pangasinan,False,15.91616,12.740580000000001
1006,MB2023-003,2023-04-04,Dry,transport,Carabao,No,,,6.8,353.9,327.9,3.65,3.69,29.6,72.0,66.66,2023,False,Pangasinan,False,12.917349999999999,13.05891
1007,MB2023-004,2023-01-05,Dry,packinghouse,Carabao,No,,,17.5,302.5,283.9,3.7,2.46,33.3,78.9,78.03,2023,False,Pangasinan,True,11.1925,7.4415000000000004
1008,MB2023-004,2023-01-06,Dry,transport,Carabao,No,,,21.7,283.9,258.0,4.82,4.29,29.8,74.0,77.68,2023,False,Pangasinan,False,13.683979999999998,12.17931
1009,MB2023-005,2023-10-07,Wet,packinghouse,Carabao,No,,,18.9,289.5,263.6,4.41,4.54,28.5,73.1,133.28,2023,False,Pangasinan,False,12.76695,13.1433
1010,MB2023-005,2023-10-08,Wet,transport,Carabao,No,,,16.5,263.6,240.3,2.85,5.98,32.5,76.4,134.12,2023,False,Pangasinan,False,7.512600000000001,15.763280000000004
1011,MB2023-006,2023-07-25,Wet,packinghouse,Carabao,No,,,15.7,369.9,338.3,3.86,4.69,30.4,78.9,125.38,2023,False,Pangasinan,False,14.278139999999997,17.34831
1012,MB2023-006,2023-07-26,Wet,transport,Carabao,No,,,14.6,338.3,312.0,3.63,4.13,28.3,71.6,130.17,2023,False,Pangasinan,False,12.28029,13.971789999999999
1013,MB2023-007,2023-10-11,Wet,packinghouse,Carabao,Yes,53.1,6.0,12.5,403.8,377.8,2.68,3.75,28.1,73.1,131.05,2023,True,Pangasinan,False,10.82184,15.1425
1014,MB2023-007,2023-10-12,Wet,transport,Carabao,Yes,53.1,6.0,6.5,377.8,352.0,2.63,4.19,31.4,78.6,131.58,2023,False,Pangasinan,False,9.93614,15.829820000000003
